Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
AI/ML Engineer,$109K-$186K (Glassdoor est.),"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

We seek a data scientist who specializes in artificial intelligence and machine learning. The ideal candidate is highly motivated to apply the breadth of their technical expertise to solving problems faced by MITRE’s Department of Treasury and Department of Commerce sponsors.

The ideal candidate will have the following personal attributes:
• Independent thinker with intellectual curiosity in both technical and business domains
• Interest in opportunities to lead small teams
• Ability to work autonomously while accountable to work leader
• Growth mindset – ability to listen and respond to constructive feedback

Key Responsibilities:
• Work in close collaboration with government stakeholders as part of a multidisciplinary team
• Analyze structured and unstructured data sources to determine the key business questions and hypotheses that can be explored with the data sets
• Evaluate approaches and algorithms based on available data and research objectives
• Develop experimental prototypes to demonstrate concepts for Federal government sponsors
• Communicate approach and results to decision makers in a manner that enables them to act

Basic Qualifications:
• Bachelor's Degree in Computer Science or Computer Engineering or similar field, and 5 years related experience
• Candidate must be able to demonstrate an ability to apply advanced principles, theories and concepts comparable to those obtained with a Master's degree in a relevant field of study.
• Candidate should understand the missions, domains and challenges of MITRE customers.
• In addition, the candidate understands that he/she will be fully responsible for deliverables-including definition, completion, and technical quality, as well as assuring consistency across the responsibility span.
• Applicants selected for this position will be subject to a government security investigation and must meet eligibility requirements for access to classified information or applicants who are eligible for security clearances

Required Qualifications:
• B.S. degree and 5 years related experience, M.S. degree and 3 years related experience, or Ph.D. in computer science, mathematics, or a related field
• Strong theoretical background in at least two learning techniques: supervised (e.g., SVMs, regression, decision trees), unsupervised (e.g., clustering, neural networks), or reinforcement
• Demonstrated experience applying supervised and unsupervised techniques to structured data
• Experience with at least one language for implementing AI/ML algorithms (e.g., Python, R)
• Basic SQL skills
• Strong writing and communication skills and ability to communicate results of research and analysis to a non-technical audience, particularly communicating why results matter
• Ability to visualize patterns in data and research results for a non-technical audience
• Familiar with data management best practices
• Familiar with DevOps patterns and practices

Preferred Qualifications:
• Program management skills
• Experience developing and deploying data-driven applications
• Experience with Docker and Kubernetes
• Capable of evaluating Differential Privacy algorithms and implementations, and capable of researching DP to develop new algorithms
• Experience working with financial data
• Theoretical background in natural language processing techniques (e.g., parsing, topic modeling, entity recognition, sentiment analysis)
• Experience with Hortonworks Data Platform tools

MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright © 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",3.2,"MITRE
3.2","McLean, VA",-1,5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),-1
ML/Camera Engineer,$109K-$186K (Glassdoor est.),"Company:
Qualcomm Technologies, Inc.
Job Area:
Engineering Group, Engineering Group > Camera Software Engineering
Job Overview:


Qualcomm is a company of inventors that unlocked 5G ushering in an age of rapid acceleration in connectivity and new possibilities that will transform industries, create jobs, and enrich lives. But this is just the beginning. It takes inventive minds with diverse skills, backgrounds, and cultures to transform 5Gs potential into world-changing technologies and products. This is the Invention Age - and this is where you come in.

We are looking for a talented, motivated and experienced embedded software Engineer with expertise in camera and ML technologies. This position in the IoT software team at Qualcomm will be primarily focused around the areas of camera, machine learning frameworks, deep neural networks, computer vision, and algorithm optimizations for embedded targets.

Minimum Qualifications:
• Bachelor's degree or equivalent in Electrical Engineering, Electronics, Computer Science, or related field.
• 2+ years Software Engineering, Hardware Engineering, Systems Engineering, or related work experience.
• 2+ years of relevant camera software experience.

Preferred Qualifications:
• 3-4 years industry experience and well-versed in Python and/or C/C++ programming (minimum qualification)
• Experience with object-oriented design, coding and testing software (minimum qualification)
• Experience with camera architecture, camera tuning, image stabilization and other camera algorithms, and/or camera APIs (minimum qualification)
• Proficiency with embedded system programming (minimum qualification)
• Good understanding of machine learning concepts, computer vision and machine learning frameworks (preferred qualification)
• Familiarity with open-source frameworks like gstreamer, pulseaudio, wayland/weston, etc (preferred qualification)
Applicants: If you are an individual with a disability and need an accommodation during the application/hiring process, please call Qualcomm’s toll-free number found here for assistance. Qualcomm will provide reasonable accommodations, upon request, to support individuals with disabilities to be able participate in the hiring process. Qualcomm is also committed to making our workplace accessible for individuals with disabilities. Qualcomm is an equal opportunity employer and supports workforce diversity.

To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.

EEO Employer: Qualcomm is an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or any other protected classification.",4.0,"Qualcomm Incorporated
4.0","San Diego, CA",-1,10000+ Employees,1985,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
Software Engineer,$109K-$186K (Glassdoor est.),"What we're looking for…

ScienceLogic is looking for a software engineer who possesses a strong understanding of software engineering process and methodologies as well as object-oriented design and programming experience. As a core developer working with our platform technologies you will play a key role in product development and technology advances. The ideal candidate is a software developer with a passion for OS internals. This is NOT a web application developer role. In this position, you will be working with our unique intellectual property that allows us to create the most extensive data set ever formulated for describing the operation of production applications. If you are motivated by a challenge and interested in solving hard problems, we want you.

Who we are…

We are a Forrester Wave Leader. We are a small, nimble software company who is reinventing the way companies manage their hybrid cloud data and systems. Through AI/ML, we provide modern IT Operations with actionable insights to predict and resolve problems faster and smarter. Our Engineers and Product Managers are some of the brightest, most creative minds in their field and we are passionate about our product. We work hard and play hard. We use bleeding edge technologies on our industry leading SL1 AIOps platform.

What you'll be doing…
You will play an integral role in developing the solution by creating clarity and visibility for managing on-prem and multi-cloud infrastructure for some of the largest companies and service providers in the world.
Advancing our collection technologies to gather data about applications from *inside* the process.
Writing rigorous tests to ensure functionality of applications while gathering this data.
Working closely with others in an open interactive development environment.
Qualities you possess…
BS in Computer Science or related technical field
Experience with C/C++, Assembly Language
Operating Systems experience, specifically with either Windows or Linux. Solaris, AIX, or FreeBSD would be a bonus
Self-starter that is a problem solver with excellent time-management skills and is open and collaborative
About ScienceLogic

ScienceLogic is the global leader in hybrid IT monitoring for the network of everything. Over 20,000 global service providers, enterprises, and government organizations rely on ScienceLogic to significantly enhance IT efficiency, optimize operations, and ensure business continuity. ScienceLogic is the first monitoring solution to provide a comprehensive view of all IT components through a single pane of glass, whether they reside in a public cloud environment or on premises. With over 1,500 dynamic management apps and custom dashboarding capabilities, we deliver the scale, resiliency, and automation needed to simplify the constantly evolving task of managing IT resources, services, and applications.

www.sciencelogic.com",4.7,"ScienceLogic
4.7","Minneapolis, MN",-1,201 to 500 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1
Machine Learning Engineer,$109K-$186K (Glassdoor est.),"Machine Learning Engineer Northern, VA

Machine Learning Engineer

NuWave Solutions is seeking Machine Learning (ML) Engineers to produce automated anomaly/object detection and characterization, forecasting, optimization, and recommendation solutions to national security challenges using modular, cloud-native, API-centric approaches. These solutions will support next-generation defense and intelligence operations with a focus on incorporating machine learning insights to automate and scale analysis and improve decision support. Teams will be working in a highly collaborative environment and expected to identify opportunities to apply and improve data-driven insights and support related design and development within big data environments. Other responsibilities include:
Engage with mission owners/operators to discover applications for ML, set project expectations, define requirements, and review results
Design and develop reusable workflows for data integration, transformation, and feature engineering required to train models
Train and validate models, often in big data, distributed environments
Perform exploratory data analysis to understand data and model-derived insights
Perform model introspection to understand model behaviors and explain predictions
Visualize data and model-derived insights to communicate internally and externally
Integrate models into operational systems
Lead trade studies, analyses of alternatives, and assessments of existing systems
Develops or provides input to engineering artifacts
Requirements
Active Top-Secret clearance required
Minimum (positions are available at multiple levels of seniority) of a bachelor’s degree and 5 years of experience in a science or engineering field
Ability to describe the data assumptions and processing steps of common machine learning methods, and which methods are appropriate for a variety of use cases
Expertise with ML libraries, like Scikit-learn, Pandas, Numpy, PySpark, MXNet, MLib, and Weka
Experience with ML platforms, like KNIME, Spark, SageMaker, H2O, and TensorFlow
Familiarity with Java, Python, and SQL including related ecosystems and frameworks, like Eclipse and Jupyter Notebook
Familiarity with visualization tools, preferably Qlik, Tableau, Plotly, Kibana, Matplotlib, and QGis
Strong problem-solving skills
Strong written and oral communications skills
Able to work independently and self-identify tasks
Ability to review and maintain existing code and applications
Ability to research and evaluate new concepts and processes to improve performance
Preferred Skills
Familiarity with time series forecasting
Familiarity with distributed platforms (i.e. HBase, Kafka, Spark, NiFi) and the cloud (i.e. AWS, GCP, Azure), preferably Amazon Web Services
Familiarity with no-SQL databases like Neo4j, ElasticSearch, or Cassandra
About NuWave Solutions

NuWave Solutions is a recognized leader in providing anticipatory intelligence and advanced data analytics to the defense, intelligence, and private sectors for over 20 years. Leveraging artificial intelligence and machine learning methodologies, NuWave Solutions streamlines the Data-to-Decision lifecycle faster than traditional practices allowing clients to take action with confidence.

For more information on how NuWave Solutions supports its clients and builds upon success, please visit https://www.nuwavesolutions.com

Position Details

Locations of Positions: Reston, McLean, or Herndon, VA; Joint Base Andrews-Bolling, DC; Suitland, MD

Travel Required (CONUS/OCONUS): CONUS

If Travel is required, how much? 5%

Work Schedule: Day Shift

Authorization to work in US is required

8570 Requirements: N/A

NuWave Solutions is an Equal Opportunity Employer/Veterans/Disabled

Tagged as: Machine Learning Engineer",4.4,"NuWave Solutions
4.4",Virginia,-1,51 to 200 Employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
Software Engineer,$109K-$186K (Glassdoor est.),"Location: Syracuse, United States of AmericaThales people architect solutions that are relied upon to deliver operational advantage at every decisive moment throughout the mission. Defence and armed forces customers rely on us to deliver the full range of defensive systems for land, sea, and air. From early warning, to threat neutralisation, our platforms cover all levels from very short-range systems, to extended protection across the entire battle-space including Airspace Mobility Solutions, Vehicles and Tactical Systems and Missile Defence, Optronics, and Radar.

TOGETHER WE MAKE THE BIG AMBITIONS OF TOMORROW HAPPEN TODAY

We are currently looking for a Software Engineer to join our Digital Aviation Solution (DAV) (Thales USA) team. This position will preferably be located in the Syracuse, New York area.

Key Responsibilities:

Support the Automation System Engineering team in the following processes:
Analysis of complex Business and Functional requirements including impact assessment ability
Develop scalable, automated solutions that meet our customers' requirements
Leverage existing software and systems to expand upon services and solution offerings
High focus on fault-tolerant programming with versioning control
Develop and implement robust testing protocols
Produce clear and concise technical specifications and documentation
Skills and Experience Required:
Bachelors degree in Engineering, Computer Science or a comparable field with minimum 5-8+ years of experience or a Masters degree in Engineering, Computer Science or a comparable field with 4+ years of experience
Software background and at least 3-5 years experience with real-time software
Command of Java programming languages and the Spring Boot framework
Development experience in a formal software development process (IEEE, CENELEC, IEC 61508, etc.)
Knowledge of continuous integration and deployment tools and concepts
At least 1-2 years experience working on an Agile team
Ability to work effectively with employees in both co-located and remote environments
Demonstrated fluency and understanding/comprehension in oral and written English.
Excellent organizational and communications skills, both verbal and written, and good interpersonal skills.
Good communication, presentation and technical writing skills
Capability to provide expertise in the application of state-of-the-art technology in the fields of Cloud computing, Big Data and Analytics/ML.
Ability to manage multiple projects in a deadline driven environment
Ability to adapt to changing requirements
Ability to track and report status on set schedules
Preferred Qualifications
Knowledge of the Air Traffic Management domain
Knowledge of Kafka, Hazelcast and ELK
Knowledge of Kubernetes, AWS, and Azure
Command of the scripting languages Python
At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!Thales champions inclusion and we believe diversity strengthens the fabric of our culture. We are an Equal Opportunity Employer/AA/Minorities/Females/Veterans/Disabled.",3.0,"Thales
3.0","Syracuse, NY",-1,10000+ Employees,2000,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Software Engineer,$109K-$186K (Glassdoor est.),"Apply

Description

**TS/SCI w/ Polygraph required before consideration.**

Responsibilities:
Function as the technical task leader, developing process frameworks and services that encompass technology & process; As a Subject Matter Expert, help internal teams accelerate ITSM automation, application development, modernization, and integration through Agile & DevSecOps transformation, cloudnative application design & development, customer & user experience, modern software deployment techniques, test automation frameworks, open source management solutions, serverless computing and application performance management.
Working with build and ops teams to automate tasks, integrate ML/AI to provide greater efficiency and reliability across traditional and cloud networks
Actively explore novel and disruptive technologies, services and new technical partners with which to develop new value added services and capabilities
Develop white papers and participate in customer outreach efforts which demonstrate the qualifications and value offerings provided by GDIT
Represent Program in Customer Working Groups, deliver public briefings and presentations enhancing Program position as a thought leader in the Customer community
Provides guidance and training to less experienced staff
Maintains current knowledge of cloud service provider offerings.
(Candidate shall have appropriate certification in compliance with the requirements of the DoD 8570 Information Assurance Category IAT Level II.)

Qualifications:
Bachelors degree and 14 years' experience. 4 years of additional experience can substitute for a Bachelors degree.
5+ years Experience in application development and automation functions utilizing Python/Java, Ansible, web services (REST, gRPC, YAML/JSON)
Knowledge and experience of Public Cloud; Understanding of Linux, VM and container environments and utilities
Strong desire to code, produce clean readable code, good understanding of CI/CD, open source systems and git repositories required
Experience with Infrastructure-as-Code (IaC) concepts and scripting languages such as Powershell, Yaml, JSON, Terraform, etc
Good understanding of change management principles and security concepts
Excellent communication and interpersonal skills; Outstanding oral & written communications skills required
Experience in directing program activities to meet client and organization work objectives and have served clients to coordinate activities, negotiate tasks, and solve problems
In-depth knowledge/experience in applying service delivery business models and technologies to deliver successful outcomes that support and enhance customer mission capabilities
Firm knowledge of DoD/IC, Agile, DevOps, and Lean requirements, methodologies, and toolsets, and/or application development platforms;
Experience implementing hybrid cloud services
Looking for a self-starter who is able to work collaboratively in a dynamic, unstructured environment.
COMSO, Inc. is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender, gender identity, national origin, disability, or protected Veteran status.",4.1,"COMSO
4.1","Annapolis Junction, MD",-1,51 to 200 Employees,1988,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
Software Engineer,$109K-$186K (Glassdoor est.),"System1 is looking for a Software Engineer that is a curious, innovative, and methodical problem solver. In this role, you will play a key part in defining and building vertical based product reviews and comparisons. The main focus of the team is enabling flexible experimentation, rules engines, and content delivery. The ideal candidate is a team player who can design and execute simple and elegant solutions to big problems around large datasets and distributed systems, focusing on performance and scale. This person can also manipulate and leverage datasets to extract valuable insights coming from millions of users, external APIs, and data feeds.
The Role You Will Have
Creating content recommendation systems and large scale configuration management.
Design and implement algorithms to efficiently process, analyze, and serve massive datasets to enable product recommendations and user-intent detection.
Build, operate, and optimize large web-based systems and platforms that interface directly with data science real-time scoring models and support various optimization algorithms that are multi-objective in nature.
Process user engagement data, product feeds, and APIs in real-time/near real-time and integrate with ML models that power the products.
What You Will Bring
3+ years experience in backend or full stack development.
Bachelor’s in Computer Science or equivalent professional experience.
Well versed with Python and Python libraries/frameworks is required.
Passion for leveraging technology to solve problems and maximize productivity.
Thrive in collaborative teams.
Experience building scalable and reliable products in the cloud.
Experience with designing, implementing, and using RESTful APIs.
What We Have To Offer
Paid Parking or an ORCA card
Cross-team lunches and tech demos to foster learning
Untracked paid sick time, 17 days of PTO, and 10 paid company holidays
Competitive benefits package
Catered lunch twice a week and a fully stocked kitchen
Happy hours at various bars, restaurants an venues across Bellevue
Weekly yoga and fitness classes with private trainer
Company parties and outings",3.8,"System1
3.8","Venice, CA",-1,201 to 500 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Senior Software Engineer,$109K-$186K (Glassdoor est.),"Roostify is transforming the mortgage industry with an innovative and integrated platform that's streamlining the entire digital lending experience. We believe that consumer lending should be a fair, fast, and transparent experience. Our software is used by lenders across the country to improve lending experiences every day. We are a team of innovative thinkers on a mission to reinvent the lending experiences so people can accelerate their future.

As a Senior Software Engineer you will have an opportunity to work on an exciting new service from ground up. The primary focus of this position will be design, development, deployment and support of components for Roostify's Data & Document Intelligence platform.

RESPONSIBILITIES
Be responsible for designing and scoping development tasks
Develop elements of the overall software solution
Interact with other members of the engineering and product management team to ensure compatible implementation of the solution with the existing platform
Assume end-to-end responsibility, including deployment and oversight of the owned component in production
Influence the overall architecture and provide guidance to the junior team members
Handle escalations and effectively interact with customer support to resolve production issues
SKILLS & EXPERIENCE
BS or MS (preferable) in Computer Science or equivalent
10+ years' experience in software design and development
Programming experience with Java, Ruby on Rails
Familiarity with front-end technologies (HTML, CSS, JS, etc.)
Experience with Javascript frameworks such as React/Angular/Vue
Database programming experience, Postgres/MySQL preferred
Extensive knowledge of Unix/Linux environments
Design experience with secure, multi-tier, multi-tenant, highly scalable and highly available web applications
Knowledge of data architectures and technologies such as data warehouses, tag managers, and analytics platforms
Understanding Data Science & AI/ML fundamentals
Experience programming with Java/J2EE and Python
Knowledge of web security fundamentals
Experience with Google Cloud Platform(GCP), Amazon Web Services (AWS) and/or other cloud platforms.
Expertise with BI/Analytics tools and platforms such as Looker, Tableau, Google Analytics.
Knowledge of OCR/NLP products, platforms and technologies.
Experience & knowledge in the mortgage/finance technologies
Enthusiasm for agile development
Experience working in a fast global team environment
You're a quick learner, flexible thinker, good communicator and listener, and know what it takes to write code that serves millions of users
BENEFITS & PERKS

At Roostify we know that people do their best when they feel their best; we care about our people and want them to thrive. Here are some of the benefits we're proud to offer:
Competitive Salary & Equity Packages
Health, Dental, and Vision Plans
401K
Flexible Vacation Time
Fitness/Wellness Discount through ClassPass
Roostify is an Equal Opportunity Employer

At Roostify we have a value of People First. We strive to provide the best experiences to our employees and candidates. We consider applicants without regards to race, color, national origin, sex, age, religion, sexual orientation, gender identity, veteran status, marital status, physical or mental disability, or other protected classes under all local, state, and federal laws and ordinances. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",3.2,"Roostify
3.2","San Francisco, CA",-1,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Senior Machine Learning Engineer,$109K-$186K (Glassdoor est.),"SkySync is a dynamic, fast-paced, venture-backed software innovator based in the Ann Arbor tech cluster, with remote Syncopaths in all US time zones. Our quirky and unique workforce excels at managing our customers’ content migration, synchronization, and orchestration challenges like no other in our space. We are poised for rapid growth and need a Machine Learning Engineer to contribute to building a large-scale machine learning, natural language processing (NLP) system and developing our understanding of the data we encounter. This role will be a cross between an ML/NLP researcher and a software engineer, and good candidates will have prior experience doing both. We are looking for someone from the southeastern Michigan area and preference will be given to candidates within this geographic location.

You’ll be doing a lot of this:
Rapidly iterating over different techniques in a solution space, and effectively analyzing the performance of models on various tasks
Contributing to several large-scale production machine learning and natural language processing efforts
Developing and building guidelines for evaluation datasets
Understanding the decision-making process, workflows, and business and information needs of business unit heads and service manager/owners
Translating business needs into analytics/reporting requirements to support executive decisions and workflows with required information
Visualizing information and developing engaging reports on the results of experiments
Advising product teams on new products, features or updates through evidence-based recommendations
Supporting user experience specialists and information architects to enhance information visualization through the development of dashboards and user interfaces
Distributing best practices to analytics and product teams and provides consultations for their data-based experimentations
Other duties as assigned
So you should have this:
Up-to-date knowledge of machine learning, natural language processing (NLP), and data analytics tools and techniques
Strong knowledge of Python, and related machine learning tools (e.g. TensorFlow, PyTorch)
Strong experience with Docker, AWS
Familiarity with current SOTA NLP models like BERT
4+ years of work experience with Python and machine learning
Willingness and ability to learn new technologies on the job
Demonstrated ability to communicate complex results to technical and non-technical audiences
Demonstrated ability to work with minimal supervision
Experience building and deploying predictive models, web scraping, and scalable data pipelines
Master’s degree or PhD in computer science, electrical engineering, computer engineering, statistics, or related fields preferred
Ability to think critically while solving problems in a rapidly changing product
Nice to have:
Publications from ML/NLP venues such as ACL, NAACL, EMNLP, NeurIPS, ICML, ICLR

This position is a great fit for you if you like keeping up with the cutting edge of machine learning and NLP and helping build a position and product from the ground up. Knowing how to engage with new challenges daily and handle competing priorities is a must.
This position is not a great fit for you if you like established processes for every situation or a static set of duties and responsibilities.

Qualities Needed for Success
Excellent listening, writing, and professional communication skills are a must. You should be able to demonstrate proficiency in most of the duties and responsibilities listed above. In our fast-paced world, a great attitude combined with enthusiasm is key to individual success along with embodying our entrepreneurial spirit.",5.0,"SkySync
5.0","Ann Arbor, MI",-1,51 to 200 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Machine Learning Engineer,$109K-$186K (Glassdoor est.),"Ibotta is seeking a Machine Learning Engineer to help build recommendation and personalization systems that drive our company's mission to make every purchase rewarding for millions of consumers. We're looking for a machine learning engineer who has a passion for building scalable machine learning solutions using technologies such as Python, Spark, AWS, Airflow, Sagemaker, PyTorch, etc. Every member of the team has input into our roadmap and will have a real impact as part of a small, agile team.

What you will be doing:
Embrace and uphold Ibotta's Core Values: Integrity, Boldness, Outhustle, Teamwork, Transparency & A good idea can come from anywhere
Design, develop and deploy large scale, big data-driven machine learning models that are integrated with key product features. Some examples of potential projects include:
Building/scaling ML related infrastructure to help streamline the development, evaluation, deployment, and re-usability of core ML features and services
Recommendation systems that leverage robust, granular customer data sets and various modeling approaches to ensure the most relevant content is shown to each user
Search relevancy engines that leverage machine learning, word embeddings, ranking algorithms, and millions of products to help surface the most relevant content for each search query
Collaborate with Engineering and Analytics leads to establish analytic standards and platforms that scale and can be leveraged in various initiatives throughout the organization
Deliver world class products in partnership with cross functional teams (Product Managers, Data Engineers, Software Engineers, etc.)
Communicate complex machine learning solutions, concepts and the results of analyses in a clear and effective manner to business stakeholders and technology leaders to maximize the effectiveness of machine learning initiatives
What we are looking for:
2+ years of professional experience as a Machine Learning Engineer, Data Scientist, or equivalent role, focusing on machine learning, statistical modeling, and/or ML infrastructure
Proficiency in Python
Experience working with machine learning frameworks (e.g. scikit-learn, xgboost, PyTorch, TensorFlow) and distributed big-data tools (Spark, Hive)
Experience working with version control systems (e.g. git) and CI/CD for machine learning pipelines
Ability to communicate complex, technical machine learning implementations to diverse audiences
Ability to think critically and leverage domain expertise to build machine learning powered applications that help to achieve high-level business objectives
About Us:

Headquartered in Denver, CO, Ibotta (""I bought a..."") is a free mobile shopping and payments app that has delivered more than $675 million in cumulative cash rewards to its users for making purchases in-store, on mobile apps, or via websites. Launched in 2012, Ibotta has more than 35 million downloads and has become one of the most frequently used shopping apps in the United States. The Ibotta platform provides cash back on purchases at more than 1,500 leading brands and hundreds of retailer partners. In 2019, Ibotta launched its payments solution, Pay with Ibotta™, enabling shoppers to pay for their entire purchase through the Ibotta app and instantly earn cash back. Ibotta was named to the 2019 Inc. 5000 list of fastest-growing private companies in the U.S., after debuting on the list in 2018. The company recently became the first mobile consumer technology company in Colorado to achieve $1B in valuation.

Learn more about Ibotta here: https://liferewarded.ibotta.com/press-and-media/

To learn more about what our Tech teams are doing day to day, visit Building Ibotta on Medium.com.

Additional Details:
This position is located in Denver, CO and includes competitive pay, benefits package (including medical, dental, vision), 401k, and equity.
Ibotta is an Equal Opportunity Employer. Ibotta's employment decisions are made without regard with race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, sexual orientation, or any other legally protected status
Applicants must be currently authorized to work in the United States on a full-time basis.",3.6,"Ibotta
3.6","Denver, CO",-1,501 to 1000 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
